category,concept,element_1,element_2,element_3,element_4
emergency medicine|internal medicine,STEMI management,Nitroglycerin,PCI,Tenecteplase,DAPT
emergency medicine,Pulseless VT ACLS meds,Vasopressin 40 U,Epinephrine 1 mg IV,Amiodarone 300 mg,Lidocaine 1 mg/kg
emergency medicine|internal medicine,Hypertensive emergency meds,Nicardipine,Nitroprusside,Labetalol,Clevidipine
emergency medicine|neurology,Contraindications to tPA,Prior ICH,Prior stroke within past 3 months,Active bleeding,Intracranial neoplasm
emergency medicine|internal medicine,Status asthmaticus meds,Albuterol,Iptratropium,Methylprednisolone,Magnesium sulfate
emergency medicine|pediatrics,Epiglottitis,Dysphagia,Hot potato voice,Drooling,Tripod positioning
emergency medicine,Acetaminophen overdose treatment,Liver transplant,Rumack-Matthew nomogram,N-acetylcysteine,Activated charcoal
emergency medicine,Organophosphate poisoning management,Decontamination,Hemodialysis,Atropine,Pralidoxime
emergency medicine|internal medicine,Serotonin syndrome,MAOIs,Linezolid,Tramadol,Sumatriptan
internal medicine,Tumor lysis syndrome,Hyperuricemia,Cairo-Bishop criteria,Hyperphosphatemia,Hypocalcemia
emergency medicine,Acute angle-closure glaucoma treatment,Timolol,Pilocarpine,Acetazolamide,Laser iridotomy
pediatrics,Pediatric GI findings,Target sign on US,Olive shaped mass,Whirlpool sign,Double bubble
pediatrics|emergency medicine,Croup,Parainfluenza,Steeple sign,Nebulized racemic epi,Barking cough
pediatrics|emergency medicine,Signs of nonaccidental trauma,Bilateral retinal hemorrhages,Metaphyseal corner fractures,Posterior rib fractures,Unexplained bruising
emergency medicine|surgery,Components of MTP,pRBC,FFP,Platelets,Calcium gluconate
internal medicine|psychiatry,Alcohol withdrawal stages,Tremors and diaphoresis,Hallucinosis,Generalized seizures,Delirium tremens
internal medicine|emergency medicine,Diabetic ketoacidosis,Kussmaul breathing,Fruity breath,Polyuria,Hyperglycemia
internal medicine|emergency medicine,Anion gap metabolic acidosis causes,Lactic acidosis,Iron overdose,Ethylene glycol,Uremia
internal medicine,DIC lab findings,Thrombocytopenia,Low fibrinogen,Elevated D-dimer,Coagulopathy
internal medicine|emergency medicine,ARDS Berlin criteria,Acute onset,Bilateral CXR infiltrates,PaO2/FiO2 < 300 mmHg,Not explained by cardiac problem
internal medicine|emergency medicine,Acute right heart failure findings,New RBBB,S1Q3T3 on EKG,McConnell's sign,Elevated JVP
internal medicine|family medicine,Secondary causes of HTN,OSA,Primary aldosteronism,Pheochromocytoma,Recreational drug use
internal medicine|family medicine,Lipid lowering meds,Rosuvastatin,Ezetimibe,PCSK9 inhibitors,Niacin
internal medicine|family medicine,Diabetes mellitus management,Eye exam,Foot exam,HbA1c,Lipid panel
internal medicine,Hyperthyroidism treatment,Propranolol,Methimazole,Propylthiouracil,Radioactive iodine
internal medicine|family medicine,Indications for pneumococcal vaccine,Asplenia,HIV,Hodgkin lymphoma,Nephrotic syndrome
internal medicine|family medicine,Gout triggers,Shellfish,Alcohol,Red meat,High fructose corn syrup
internal medicine|family medicine,COPD meds,Tiotropium,Home O2 therapy,Salmeterol,Budesonide
psychiatry|pediatrics|family medicine,ADHD meds,Atomoxetine,Guanfacine,Clonidine,Concerta or Vyvanse
family medicine|internal medicine,Smoking cessation management,Nicotine patch,Varenicline,Bupropion,Cessation program referral
psychiatry|internal medicine|family medicine,Alcohol use disorder management,CAGE questionnaire,CIWA Score,Motivational interviewing,Acamprosate
pediatrics|family medicine,Acute otitis pathogens,Strep pneumo,H influenzae,Moraxella catarrhalis,Pseudomonas
family medicine|internal medicine,Low back pain red flag symptoms,Bowel dysfunction,Urinary incontinence,Saddle anesthesia,Pain at night
family medicine,Acne vulgaris treamtn,Topical retinoid,Oral doxycycline,Hormonal therapy,Oral isotretinoin
pediatrics|family medicine,Enuresis treatment,Bed-wetting alarm,Nocturnal fluid restriction,Desmopressin,Imipramine
internal medicine,HFrEF GDMT,Entresto,Metoprolol,Jardiance,Spironolactone
internal medicine,Vitamin A deficiency,Bitot spots,Night blindness,Follicular hyperkeratosis,Xerophthalmia
